,brand,category,color,features,price,sales_rank,title
B0018Q7LCK,BUNN,centrifugal,Stainless Steel,"['Stainless-steel electric juicer produces fresh juice quickly and easily', 'Extra-large round chute; stainless-steel blade and mesh filter', 'Whisper-quiet 3,600 RPM motor; patented extraction technology', 'Large-capacity pulp collector; non-drip spout; dishwasher-safe parts', 'Product Built to North American Electrical Standards']",$455.00,155904,Jack Lalanne PJP Power Juicer Pro Stainless-Steel Electric Juicer
B001B1AH7S,Tribest,masticating,Light Green,"['Tribest Part Number SS021A_2', 'For SoloStar 2 Juicer; Will NOT work with Solo Star 3 Juicer']",$47.95,781326,Tribest Juicers 021A-2 Auger
B001BJ75PM,Judge,citrus,Silver,"['For Juicing Citrus Fruits', 'Easy Clean, Dishwasher Safe', 'Stainless Steel']",$25.48,None,Judge Citrus Juicer Stainless Steel
B001BR0X1C,Dynamic,citrus,,[],$372.29,1597275,Dynamic PA96 Electric Citrus Juicer 1/2 HP
B001D6FXKW,omcam,citrus,Steel,"['Provided with higher rotation motor than traditional extractors', 'Higher juice production', 'Easy to disassemble for cleaning', 'Comes with antiskid pads and 2 different size crowns', 'Sturdy and reliable']",$229.95,1824782,Ex Citrus Juicer
B001DZ6TH4,Tribest,citrus,White,"['Favorite citrus fruits to refreshing juices in a snap!', 'Easy one-touch operation', 'Juice pours directly into glass for continuous operation', 'Allows maximum extraction from the smallest limes to the largest grapefruits', 'Fine screen prevents clogging and is easy to clean', '110V Model', 'Favorite citrus fruits to refreshing juices in a snap']",$49.95,9749,Tribest CitriStar CS-1000 Citrus Juicer
B001DZC4NC,Tribest,masticating,White,"['110V Model', 'Automatic pulp ejection for continuous juicing and easier clean-up', 'Easily juices most fruits, herbs & vegetables and grinds nuts & grains', 'Works as a food mill for preparation of baby foods, sorbets and nut butters', 'Easy to clean and assemble', '3 pasta settings: angel hair, fettuccini, spaghetti']",$459.00,240699,Tribest Green Star GP-E1503 Green Power Gold Juicer
B001EBISBM,Oster,centrifugal,White,"['Extra wide feed chute fits whole fruits and vegetables', '34 oz. juice pitcher with foam separator', 'Sturdy all stainless steel filter for durability', 'Large see through pulp collector', 'Convenient one movement locking arm']",$69.99,359117,"Oster 3167 450-Watt 34-Ounce Juicer, White"
B001EU9VSM,BLACK+DECKER,citrus,White,"['30-watt electric citrus juicer with 34-ounce capacity', 'Auto reversing reamer provides maximum juice extraction', 'Standard-size cone; adjustable pulp control; strainer and stirrer', 'Drip-free pour spout; cord wrap and dust cover for storage', 'Product Built to North American Electrical Standards']",$6.14,377,"BLACK+DECKER CJ625 30-Watt 34-Ounce Citrus Juicer, White"
B001L7OIVI,Omega,masticating,Chrome,"['Easy-to-use masticating juicer with powerful motor', 'Low speed of 80 RPMs; no foaming, clogging, or heat build-up with 110 volt', 'High juice yield; auto pulp-ejection function for continuous juicing', 'Dual-stage juicing system; quiet operation; UL- and cUL-approved', 'Measures 14-1/2 by 6-1/2 by 15-1/2 inches; 15-year warranty. The juicer screen is already installed in the juicer.', 'VOLTAGE: 110V']",$279.99,1637,Omega J8006 Nutrition Center Juicer - Black and Chrome
B001MXSUAQ,Samon Brands,masticating,White,"['Juice fruit, vegetables, wheatgrass, leafy greens and even make mochi, baby food and tasty dessert!', ""10 year manufacturer's warranty"", 'Continuously juices preventing pulp from cloggin, resulting in dry pulp and nutrient rich juice.', 'Large feeding chute, light weight and incredibly easy to clean up. Includes multi-purpose kit.', 'Bio-ceramic & magnetic technology ionizes juice delaying oxidation keeping juice fresh for 72hrs!']",$399.00,318473,Green Power Juicer - KPE 1304
B001N0STTA,Waring,citrus,White,"['Hi-power citrus juicer comes with quiet, heavy-duty direct-drive motor that juices efficiently at 1800 rpm for fastest juice yield', 'Featured with universal reamer which is useful to juice all citrus fruits from the smallest lemon to the largest grapefruit', 'It contains stainless steel juice collector with large spout which is easy to clean and quickly drains juice through large spout', 'The juice collector and durable polycarbonate reamer and dome are removable and dishwasher safe', 'Features sturdy polycarbonate motor housing with vibration-dampening feet']",Too low to display,400261,Waring Commercial JC4000 Heavy-Duty Hi-Power Citrus Juicer with Splashguard
B001RLYOEE,Omega,masticating,White,"['Masticating juice extractor with powerful single-gear commercial motor', 'Dual-stage juicing; low speed of 80 RPMs means no foaming, clogging, or heat build-up', 'High yield with very dry pulp; auto pulp-ejection for continuous operation', 'Easy to assemble, operate, and clean; UL- and cUL-approved; runs quietly', 'Ships in Certified Frustration-Free Packaging', 'VOLTAGE: 110V']",$259.95,13637,"Omega J8004 Nutrition Center Commercial Masticating Juicer, White"
B001SACO8W,Sunpentown,centrifugal,Silver,"['850-watt juice extractor housed in die-cast aluminum', '3-inch feed tube accommodates most whole fruits and vegetables', '2 speed settings; separate pulp container; 4/5-liter juice jug', 'Stainless-steel micro-mesh filter; dishwasher-safe parts', 'Measures 8 by 14-1/2 by 15-1/2 inches; 1-year limited warranty']",$70.00,480910,Sunpentown CL-851 Professional 850-Watt Juice Extractor
B001T82SS4,Sharper Image,citrus,Silver,"['Stainless-steel electric juicer produces fresh juice quickly and easily', 'Wide-mouth feeding tube accepts whole produce; dual-position locking spout', 'Stainless-steel blade and micro filter; large-capacity pulp collector', 'Quiet yet powerful 700-watt motor; safety locking bar; dishwasher-safe parts', 'Measures approximately 13 by 8-1/2 by 15-1/2 inches']",$99.99,335986,The Sharper Image 8021SI Stainless-Steel 700-Watt Super Juicer
B001V7P68M,Kuvings,centrifugal,Orange,"['Centrifugal juice extractor for juicing fruits and vegetables at home', 'Large-capacity cylindrical feeding tube can fit whole fruit; safety locking system', 'Energy-saving 350-watt motor capable of food-processing speed of 11,000 rpm', 'Stainless-steel blade and basket; continuously juices up to 30 to 50 cups', ""Measures 16-4/5 by 14 by 9-2/3 inches; 1-year manufacturer's warranty""]",$149.99,85602,"Kuvings NJ-9310U Centrifugal Juicer, Orange"
B0025ZCHJU,Miracle / Santos,citrus,Silver Black,"['Same as Santos 71CV1 from France', 'Citrus juicer for all citrus fruits - lemons, limes, oranges, grapefruits. - cut in 2 and juice', 'Features an inclined body for better output, Unbreakable polycarbonate bowl and base', 'Universal gear motor - 100-120 VSingle phase, 50/60 Hz, 40 W, 80 RPM,', 'Height to output spout is 5""; Manufacturers 1 Year Warranty']",$330.51,974943,Miracle MJ71 Commercial Citrus Juicer (Santos Megra 71)
B0027FFPB0,Sunpentown,masticating,White,"['Multi-functional appliance extracts juice and grinds beans and grains', '350-watt, 3600 RPM motor; stainless-steel grinding blade; quiet operation', 'Automatic disposal of dregs into separate container; motor thermo control', 'Micro-switch for safety; ABS/PP plastic housing; recipe book and instruction video included', 'Measures approximately 14 by 21 by 23 inches; 1-year limited warranty']",$124.71,58225,Sunpentown CL-010 Multi-Function Miller and Juice Extractor
B0029SVLU4,Focus Foodservice,citrus,White,"['Olympus extra large commercial juice press designed to withstand the rigors of commercial foodservice operations', 'Constructed from ultra-strong and durable cast iron; base measures 9.25 by 7.38-Inch; press measures 31-Inch high with handle in upright position', 'White enamel finish resists citrus acids, pitting, and corrosion; large opening between base legs allow for larger containers', 'Sure-grip rubber handles are ergonomic, easy to hold and use; efficient 3 pinion design exerts maximum pressure with minimal effort', 'Rubber suction cup feet for safe operation; 18-8 stainless steel perforated strainer cone and funnel cup remove for easy cleaning']",$159.95,48517,"Focus Foodservice 97302 Olympus X-Large Commercial Juice Press, White"
B002DUCC7Y,Elite Cuisine,citrus,White,"['20 oz. (2.5 cup) capacity powered at 25 watts with twist-lock juice container for ensured stability', 'Transparent juice container with capacity indicator', 'Self-reversing reamer cone rotates automatically when pressure is applied', 'Easy pour spout and strainer/pulp and seed collector', 'Detachable parts all dishwasher safe', '20oz/25 Cup capacity', 'Easy pour spout', 'Strainer/Pulp and seed collector', 'Twist-lock juice container for ensured stability', 'Detachable parts, all dishwasher safe', '25 Watts']",$29.99,188081,"Elite Cuisine ETS-401 Maxi-Matic 20-Ounce Citrus Juicer, White"
B002DZNQLK,,citrus,White,"['Powerful Electric Motor', 'See Through Lid', 'Automatic Two-Way Reverse Spinner', 'Automatic Starter', 'Easy To Clean']",$39.97,1121351,Aroma Citrus Juicer ACJ-150
B002ENY5DO,Kuvings,masticating,,"['170-watt masticating juicer with powerful motor and microscopic extraction technology', 'Low-speed spiral-screw method preserves taste and nutrients of food; quiet operation', 'For juicing fruits and vegetables, mincing, making ice cream, grinding, extruding pasta, and more', 'Easy-to-clean design; cord storage; 8 different nozzles and dust cover included', 'Measures 14-3/5 by 12-8/9 by 12 inches']",$249.99,1113264,"Kuvings GMPD3540U Multi-Purpose Masticating Juicer, White"
B002G69VU6,CKS,citrus,White,"['Made from glazed white stoneware.', 'Part of the Classsc WM Bartleet & Sons Ceramic Range.', 'Approx size; 12.5cm / 5"" dia x 7cm / 2.8"" tall.', 'Dishwasher Safe.']",$17.99,931600,WM Bartleet and Sons Ceramic White Classic Juicer
B002J1VR00,Tramontina,citrus,Null,"['18/10 Stainless Steel', 'Convenient Pouring Lip', 'Compact and easy to store', 'Made in Brazil', 'Lifetime Warranty']",$29.95,677896,"Tramontina 6603/13DS Gourmet Citrus Juicer, 13 oz"
B002JEGCXO,Omega,masticating,White,"['Masticating juicer with 1/5-horsepower-equivalent single-phase induction motor', 'Dual-stage juicing system; auto pulp-ejection for continuous juicing; reverse mode', 'Low rotation speed of 80 RPMs means minimal heat build up for healthier results', 'Includes heavy duty juicing screen, perfect for everyday use.', 'Measures 9-5/6 by 6-4/5 by 15-5/6 inches; 10-year limited warranty']",$329.00,204698,"Omega VRT330 Dual-Stage Vertical Single-Auger Low-Speed Juicer, White"
B002LARED8,BLACK+DECKER,citrus,White,"['Product note: the logo design of this item may vary depending on when the product was manufactured', '20-watt electric citrus juicer with 32-ounce capacity, Auto reversing reamer and stirrer for maximum juice extraction', 'Standard-size cone; strainer with adjustable pulp control', 'Drip-free pour spout; cord wrap and dust cover for storage', 'Measures approximately 7-3/5 by 7-3/5 by 9 inches']",$13.37,1687,"BLACK+DECKER CJ630 32-Ounce Electric Citrus Juicer, White"
B002LAREEM,BLACK+DECKER,centrifugal,White,"['400-watt juice extractor offers simple one-handed operation', 'Stainless-steel strainer for pulp-free juice; pulp collector in the back', '3-way auto shutoff with anti-drip system; convenient cord storage', 'Clear cover allows for viewing the process; 10-ounce juice cup included', 'Measures 9 by 6 by 11-2/7 inches']",,675098,Black & Decker JE2100 10-Ounce Fruit-and-Vegetable Juice Extractor
B002LHKSGG,Elite Platinum,centrifugal,Stainless Steel,"['2 speed control switch and powerful 700 watt motor and oversized strainer for more juice extraction', 'Extra wide 3-inch  feed chute to fit variety of large fruits and vegetables', 'Includes a 1-quart juice pitcher with foam separator which easily attaches to spout to prevent spills, and a 27-quart pulp container', 'Removable parts are dishwasher-safe for easy cleaning and no rust grater filter', 'Automatic shut-off to prevent overheating and safety lock function to prevent operation if item is not properly assembled and stainless steel locking handle with safety switch', '2 speed control switch', 'Extra wide feed chute to fit variety of large fruits and vegetables', 'Includes a 1Qt Juice pitcher with foam separator which easily attaches to spout to prevent spills', 'Powerful  700W motor', 'Automatic shut-off to prevent overheating', 'Safety lock function to prevent operation if item is not properly assembled', 'No rust grater filter', 'Oversized strainer for more juice extraction', 'Stainless steel locking handle with safety switch', '27Qt pulp container']",$35.99,37108,"Elite Platinum EJX-9700 2-Speed Power Juicer Machine Big Mouth Whole-Fruit Juice Extractor, Stainless Steel"
B002LYFU6W,Samson,masticating,Black,"['Multipurpose with a wide variety of applications', 'Quiet operation', 'Easy to use', 'Quick cleanup', 'Extracts high levels of nutrition']",$399.00,324279,"Green Power KPE1304 Twin Gear Juicer Wheatgrass, Vegetable & Fruit Juicer - Black"
B002LYHU74,Samson,masticating,Black,"[""Quiet operation won't disturb the peace while you're juicing"", 'High quality and reliable components will last a long time', 'Extracts more nutrition than comparable juicers for healthier drinks', 'Multipurpose usage is great for all sorts of applications', 'Cleans up quickly to save you on time and effort']",$429.00,232436,"Green Power KPE1304 Twin Gear Juicer Wheatgrass, Vegetable & Fruit Juicer + Multi-purpose Kit - BLACK"
B002QGXTJK,Tribest,masticating,White,"['110V Model', 'Automatic pulp ejection for continuous juicing and easier clean-up', 'Easily juices most fruits, herbs & vegetables and grinds nuts, grains', 'Works as a food mill for preparation of baby foods, sorbets and nut butters', 'Easy to clean and assemble', 'Portable with balanced sure-grip handle for easy carrying; 12 Year Warranty']",Too low to display,43492,Tribest Green Star Elite GSE-5000 Jumbo Twin Gear Cold Press Juice Extractor
B002S51RRA,Breville,centrifugal,sless/steel,"['The puree disc ensures waste-free juicing for soft fruits and vegetables (i.e. Blueberries, Strawberries, and Bananas)', 'Electronic 5 speed dial maximizes juice yield from soft fruits and leafy greens, to harder fruits and vegetables', '1200 Watt motor', 'Heavy grade die-cast metal body', '3-Inch feed tube processes whole fruit']",$349.99,10800,Breville BJE820XL Juice Fountain Duo Dual Disc Juicer
B002SBB77E,Fleetwood,centrifugal,White,"['Fleetwood CSE 1-qt Heavy Duty Centrifugal Juicer w/ 1750 RPM, Safety Micro Switch']",,2099085,Fleetwood Food Processing Eq. CSE Centrifugal Juicer
B002TNQFI2,L'EQUIP,centrifugal,Black,"['Powerful 2/3 Horsepower, 480 Watt universal motor for maximum efficiency juice extraction', 'Extra-large 3"" feeding tube makes juicing easy by eliminating the majority of necessary preparation.', 'Patented, Automatic Pulp-ejection system with large pulp container allows for continuous juicing without clogging.', 'Safety latch system ensures safe operation during setup and juicing', 'Industry leading 3 year warranty on blade basket and 10 year on parts']",$90.00,117166,"L'EQUIP XL Pulp Ejection Juicer, Black"
